Epoch Time (s),Vehicle State
1473877211.717418,5
1473877212.717435,5
1473877213.717432,5
1473877214.717477,5
1473877215.717427,5
1473877216.717439,5
1473877217.717659,5
1473877218.717487,5
1473877219.717447,5
1473877220.717476,5
1473877221.717423,5
1473877222.718234,5
1473877223.720006,5
1473877224.717422,5
1473877225.718889,5
1473877226.719792,5
1473877227.718777,5
1473877228.717444,5
1473877229.717461,5
1473877230.717446,5
1473877231.717492,5
1473877232.717476,5
1473877233.717439,5
1473877234.717456,5
1473877235.719047,5
1473877236.717423,5
1473877237.717434,5
1473877238.718589,5
1473877239.718733,5
1473877240.717489,5
1473877241.717443,5
1473877242.717541,5
1473877243.717443,5
1473877244.717431,5
1473877245.717443,5
1473877246.718165,5
1473877247.717770,5
1473877248.717433,5
1473877249.717478,5
1473877250.717437,5
1473877251.717460,5
1473877252.717408,5
1473877253.717421,5
1473877254.717443,5
1473877255.717878,5
1473877256.720163,5
1473877257.717475,5
1473877258.717789,5
1473877259.717464,5
1473877260.717449,5
1473877261.717452,5
1473877262.717433,5
1473877263.717451,5
1473877264.717471,5
1473877265.717479,5
1473877266.717442,5
1473877267.718677,5
1473877268.717451,5
1473877269.718414,5
1473877270.717439,5
1473877271.717667,5
1473877272.721587,5
1473877273.718381,5
1473877274.719473,5
1473877275.719787,5
1473877276.718292,5
1473877277.718029,5
1473877278.717469,5
1473877279.717439,5
1473877280.717464,5
1473877281.717625,5
1473877282.717462,5
1473877283.717419,5
1473877284.717431,5
1473877285.717424,5
1473877286.717873,5
1473877287.717430,5
1473877288.717425,5
1473877289.717447,5
1473877290.717438,5
1473877291.717430,5
1473877292.717449,5
1473877293.717459,5
1473877294.717429,5
1473877295.717416,5
1473877296.717424,5
1473877297.717415,5
1473877298.717405,5
1473877299.717418,5
1473877300.717425,5
1473877301.717410,5
1473877302.717705,5
1473877303.717442,5
1473877304.717444,5
1473877305.719215,5
1473877306.717447,5
1473877307.717487,5
1473877308.717425,5
1473877309.717440,5
1473877310.717429,5
1473877311.717874,5
1473877312.717657,5
1473877313.717436,5
1473877314.717414,5
1473877315.717428,5
1473877316.717436,5
1473877317.717480,5
1473877318.719237,5
1473877319.717427,5
1473877320.721374,5
1473877321.717432,5
1473877322.717446,5
1473877323.717474,5
1473877324.717435,5
1473877325.717425,5
1473877326.717434,5
1473877327.719103,5
1473877328.717466,5
1473877329.717460,5
1473877330.717466,5
1473877331.717435,5
1473877332.717449,5
1473877333.718834,5
1473877334.717466,5
1473877335.717439,5
1473877336.717439,5
1473877337.717441,5
1473877338.717556,5
1473877339.717443,5
1473877340.717535,5
1473877341.717424,5
1473877342.717432,5
1473877343.717451,5
1473877344.717472,5
1473877345.717428,5
1473877346.717632,5
1473877347.717440,5
1473877348.717448,5
1473877349.717417,5
1473877350.717754,5
1473877351.717478,5
1473877352.717451,5
1473877353.717433,5
1473877354.718182,5
1473877355.717490,5
1473877356.717862,5
1473877357.717455,5
1473877358.717465,5
1473877359.717418,5
1473877360.717459,5
1473877361.717443,5
1473877362.717416,5
1473877363.718820,5
1473877364.717423,5
1473877365.717448,5
1473877366.717465,5
1473877367.717435,5
1473877368.717450,5
1473877369.717439,5
1473877370.717460,5
1473877371.717418,5
1473877372.717452,5
1473877373.717996,5
1473877374.717411,5
1473877375.718623,5
1473877376.719929,5
1473877377.717772,5
1473877378.719530,5
1473877379.717433,5
1473877380.717487,5
1473877381.717431,5
1473877382.717443,5
1473877383.717464,5
1473877384.717452,5
1473877385.717433,5
1473877386.717426,5
1473877387.717437,5
1473877388.717468,5
1473877389.717469,5
1473877390.717439,5
1473877391.717466,5
1473877392.718080,5
1473877393.718702,5
1473877394.717449,5
1473877395.717449,5
1473877396.717440,5
1473877397.717569,5
1473877398.717821,5
1473877399.717438,5
1473877400.717466,5
1473877401.717631,5
1473877402.718166,5
1473877403.717445,5
1473877404.717699,5
1473877405.717456,5
1473877406.717458,5
1473877407.717437,5
1473877408.717452,5
1473877409.717445,5
1473877410.717458,5
1473877411.717485,5
1473877412.717437,5
1473877413.717469,5
1473877414.717429,5
1473877415.717446,5
1473877416.717441,5
1473877417.717444,5
1473877418.717435,5
1473877419.717489,5
1473877420.717459,5
1473877421.717922,5
1473877422.717435,5
1473877423.719811,5
1473877424.717430,5
1473877425.719488,5
1473877426.719534,5
1473877427.717444,5
1473877428.717437,5
1473877429.718045,5
1473877430.717902,5
1473877431.717487,5
1473877432.717524,5
1473877433.717758,5
1473877434.717466,5
1473877435.717447,5
1473877436.717424,5
1473877437.717436,5
1473877438.719638,5
1473877439.718743,5
1473877440.717453,5
1473877441.717481,5
1473877442.717464,5
1473877443.717453,5
1473877444.717464,5
1473877445.717425,5
1473877446.717419,5
1473877447.717472,5
1473877448.717420,5
1473877449.717565,5
1473877450.717563,5
1473877451.717681,5
1473877452.717451,5
1473877453.717428,5
1473877454.717424,5
1473877455.717785,5
1473877456.717474,5
1473877457.718299,5
1473877458.717450,5
1473877459.717494,5
1473877460.717428,5
1473877461.718588,5
1473877462.717774,5
1473877463.717434,5
